tn,sn,svl,mass,gapguess,start,transition,acceleration,airborne,end,behavior,bcode,loop,loop time,twist,twist time,multibout,bnotes,notes
184,88,95.9,101.5,40,8789,12192,12192,,12314,Swim lunge?,1,Yes,all?,Yes,all?,No,Snake basically went from still to pretty speedy but then moved smoothly through a wavy body position. Not like the typical slow-then-fast lunges ,
185,88,95.9,101.5,40,6019,,,,6125,Cantilever,0,,,,,,,
186,88,95.9,101.5,45,13720,14434,26360,,26388,Arch,1,Yes,before?,Yes,before?,Maybe?,"Sort of creates a loop but then pulls fully out of it before going close to target, then ploop. ",
187,88,95.9,101.5,45,1266,1454,1512,,1534,Arch,1,Yes,before,Maybe,before,No,,
188,88,95.9,101.5,45,29018,,,,29307,Cantilever,0,,,,,,,
190,88,95.9,101.5,50,2333,2495,2501,,2575,Arch,1,No,N/A,Maybe/small,"before, during",Maybe?,"Snake made one arch, lowered it and moved closer, then made another arch and smoothly accelerated through that to landing. ",
191,88,95.9,101.5,50,13654,13709,13816,,13872,Arch,1,,,,,No,,
192,88,95.9,101.5,55,28075,28301,28412,,28479,Arch,1,,,,,No,,
193,88,95.9,101.5,55,46754,47225,47302,,47345,Arch,1,,,,,No,,
194,88,95.9,101.5,55,22203,22330,22452,,22489,Arch,1,,,,,No,,
199,88,95.9,97.3,60,25439,25498,25681,,25773,Arch,1,,,,,No,acceleration frame might be 25731?,
200,88,95.9,97.3,60,6875,7116,7229,,7314,Arch,1,,,,,No,,
201,88,95.9,97.3,60,36193,36239,36330,,36378,Arch,1,,,,,No,acceleration frame difficult to determine,
202,88,95.9,97.3,65,10945,10995,11142,,11256,U/Arch,1,,,,,No,,
203,88,95.9,97.3,65,5288,5351,5696,5793,5797,U/J Loop,1,,,,,No,Last marker missing; airborne estimate may be off,
204,88,95.9,97.3,65,25693,25787,26044,26151,26157,U/J Loop,1,,,,,No,,
206,88,95.9,96.7,73,63373,63546,63847,63956,63961,U/J Loop,1,,,,,No,,
208,88,95.9,96.7,73,20843,20963,21446,21543,21553,U/J Loop,1,,,,,No,,
211,90,72.5,52.6,38,14145,14179,14289,,14320,Arch thing,1,,,,,No,"Makes loopy thing but then slows at peak before accelerating outwards, so a frame is near top of peak.",
212,90,72.5,52.6,38,1495,,,,1631,Cantilever,0,,,,,,,
213,90,72.5,52.6,38,1822,,,,2114,Cantilever,0,,,,,,,
214,90,72.5,52.6,44,1147,1175,,,1233,Arched cantilever,1,,,,,No,,
215,90,72.5,52.6,44,5535,,,,5711,Cantilever,0,,,,,,,
216,90,72.5,52.6,44,6035,7150,,,15749,Weird thing,1,,,,,Maybe,,
217,90,72.5,52.6,50,8490,8660,8684,,8714,Ploop,1,,,,,Maybe,,
219,90,72.5,52.6,50,27040,27802,35420,,35466,Mini arch,1,,,,,Maybe,,
220,90,72.5,52.6,56,2060,13658,13724,,13757,Mini arch,1,,,,,Maybe,,
221,90,72.5,52.6,56,1249,1346,1573,,1644,Mini arch,1,,,,,Maybe,,
222,90,72.5,52.6,56,6383,6423,6534,,6600,Mini arch,1,,,,,Maybe,,
223,90,72.5,52.6,60,1032,1078,1458,,1540,Up-then-out,1,,,,,Maybe,,
225,90,72.5,52.6,60,8252,16219,16319,,16391,Up-then-out,1,,,,,Maybe,,
233,90,72.5,55.2,50,550,4252,4237,,4286,Mini arch,1,,,,,No,,
235,90,72.5,55.2,60,3601,3826,4377,,4499,Up-then-out,1,,,,,No,,
238,85,72.5,53.3,35,1635,,,,1819,Cantilever,0,,,,,,,
239,85,72.5,53.3,35,2826,,,,3709,Cantilever,0,,,,,,,
240,85,72.5,53.3,35,1333,,,,7236,Cantilever,0,,,,,,,
241,85,72.5,53.3,40,2176,,,,13151,Cantilever,0,,,,,,,
242,85,72.5,53.3,40,6984,,,,7549,Cantilever,0,,,,,,,
243,85,72.5,53.3,40,2947,,,,5898,Cantilever,0,,,,,,,
244,85,72.5,53.3,45,8215,8411,,,8633,Arched cantilever,1,No,N/A,No,N/A,No,,
245,85,72.5,53.3,45,3073,,,,6717,Cantilever,0,,,,,,,
246,85,72.5,53.3,45,3440,,,,5038,Cantilever,0,,,,,,,
247,85,72.5,53.3,50,19875,20316,20330,,20348,Non-Cantilever,1,No,N/A,"Can't tell from video, but best guess is no.",N/A,No,,
248,85,72.5,53.3,50,37066,37177,37307,,37331,Non-Cantilever,1,No,N/A,Doesn't look like it but can't really tell,N/A,No,,
249,85,72.5,53.3,50,9761,10053,10065,,10084,Non-Cantilever,1,No,N/A,Yes (hard to be sure),Before (hard to tell),No,,
